,A,C,D,E,F,G,H,I,K,L,M,N,P,Q,R,S,T,V,W,Y,J
A,0.3550,0.0070,0.0900,0.1000,0.0500,0.1770,0.0370,0.0770,0.0960,0.0560,0.0810,0.1030,0.1060,0.0900,0.0880,0.1630,0.1200,0.0980,0.0650,0.0360,0.2520
C,0.0010,0.9010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,0.0010,0.0000,0.0000,0.0030,0.0000,0.0060,0.0060,0.0040,0.0020,0.0000,0.0070,0.0000,0.0000
D,0.0380,0.0000,0.3150,0.1090,0.0060,0.0410,0.0270,0.0090,0.0330,0.0040,0.0090,0.0880,0.0510,0.0890,0.0230,0.0650,0.0480,0.0130,0.0120,0.0110,0.0090
E,0.0440,0.0110,0.1110,0.3050,0.0110,0.0480,0.0260,0.0110,0.0590,0.0130,0.0090,0.0680,0.0690,0.0860,0.0530,0.0330,0.0450,0.0170,0.0120,0.0180,0.0000
F,0.0170,0.0000,0.0050,0.0070,0.4150,0.0040,0.0090,0.0390,0.0250,0.0970,0.0420,0.0130,0.0060,0.0110,0.0090,0.0090,0.0140,0.0410,0.0530,0.0850,0.0090
G,0.0650,0.0000,0.0700,0.0420,0.0060,0.3700,0.0170,0.0220,0.0290,0.0130,0.0150,0.0360,0.0430,0.0310,0.0130,0.0680,0.0490,0.0140,0.0090,0.0210,0.0450
H,0.0100,0.0000,0.0120,0.0110,0.0100,0.0070,0.5710,0.0030,0.0220,0.0050,0.0150,0.0430,0.0060,0.0350,0.0210,0.0160,0.0080,0.0170,0.0090,0.0370,0.0090
I,0.0290,0.0140,0.0090,0.0080,0.0480,0.0210,0.0040,0.3250,0.0170,0.0760,0.1070,0.0180,0.0070,0.0070,0.0150,0.0140,0.0330,0.1120,0.0160,0.0300,0.0180
K,0.0530,0.0070,0.0440,0.0810,0.0200,0.0410,0.0440,0.0260,0.3360,0.0290,0.0590,0.0730,0.0450,0.0940,0.1630,0.0410,0.0540,0.0260,0.0410,0.0280,0.0360
L,0.0380,0.0000,0.0060,0.0180,0.2100,0.0190,0.0040,0.1390,0.0330,0.4150,0.2250,0.0330,0.0160,0.0410,0.0280,0.0290,0.0260,0.1330,0.0370,0.0570,0.0360
M,0.0130,0.0000,0.0040,0.0030,0.0160,0.0070,0.0000,0.0430,0.0140,0.0530,0.1970,0.0100,0.0000,0.0180,0.0040,0.0030,0.0100,0.0180,0.0210,0.0210,0.0180
N,0.0310,0.0070,0.0570,0.0350,0.0100,0.0260,0.0540,0.0120,0.0340,0.0120,0.0130,0.1950,0.0150,0.0660,0.0260,0.0370,0.0460,0.0120,0.0020,0.0480,0.0000
P,0.0220,0.0000,0.0360,0.0350,0.0050,0.0260,0.0110,0.0090,0.0200,0.0060,0.0000,0.0130,0.4240,0.0130,0.0160,0.0390,0.0110,0.0090,0.0020,0.0000,0.0000
Q,0.0250,0.0110,0.0450,0.0390,0.0110,0.0210,0.0310,0.0040,0.0450,0.0150,0.0350,0.0590,0.0150,0.1830,0.0290,0.0300,0.0300,0.0080,0.0070,0.0250,0.0090
R,0.0190,0.0110,0.0120,0.0230,0.0050,0.0080,0.0190,0.0100,0.0690,0.0090,0.0040,0.0180,0.0130,0.0280,0.3480,0.0300,0.0190,0.0050,0.0070,0.0180,0.0180
S,0.0860,0.0210,0.0750,0.0470,0.0120,0.0790,0.0330,0.0200,0.0410,0.0200,0.0090,0.0890,0.0820,0.0690,0.0630,0.2640,0.0960,0.0280,0.0050,0.0200,0.0540
T,0.0430,0.0070,0.0390,0.0330,0.0200,0.0380,0.0140,0.0260,0.0320,0.0150,0.0260,0.0570,0.0280,0.0460,0.0350,0.0650,0.2660,0.0370,0.0160,0.0340,0.0000
V,0.0550,0.0000,0.0180,0.0210,0.0690,0.0220,0.0440,0.1780,0.0250,0.1110,0.0160,0.0180,0.0250,0.0170,0.0150,0.1290,0.0600,0.3500,0.0120,0.0430,0.1620
W,0.0090,0.0000,0.0030,0.0040,0.0220,0.0040,0.0070,0.0060,0.0120,0.0060,0.0200,0.0010,0.0010,0.0060,0.0040,0.0020,0.0070,0.0030,0.5880,0.0640,0.0000
Y,0.0090,0.0000,0.0060,0.0060,0.0460,0.0060,0.0290,0.0140,0.0070,0.0130,0.0310,0.0330,0.0030,0.0200,0.0100,0.0070,0.0170,0.0160,0.0780,0.3770,0.0270
J,0.0090,0.0000,0.0010,0.0000,0.0010,0.0040,0.0010,0.0020,0.0020,0.0020,0.0040,0.0000,0.0000,0.0040,0.0030,0.0060,0.0040,0.0100,0.0000,0.0050,0.2970
